Area_Name,Year,Subgroup,Victims_Upto_10_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_Above_50_Yrs,Rape_Cases_Reported,Victims_of_Rape_Total
Gujarat,2005,Victims of Other Rape,16,24,39,210,16,0,305,305
Gujarat,2006,Total Rape Victims,20,30,62,213,28,1,354,354
Gujarat,2006,Victims of Incest Rape,0,2,0,14,0,0,16,16
Gujarat,2006,Victims of Other Rape,20,28,62,199,28,1,338,338
Gujarat,2007,Total Rape Victims,18,30,51,180,37,1,316,317
Gujarat,2007,Victims of Incest Rape,1,0,1,0,1,0,3,3
Gujarat,2007,Victims of Other Rape,17,30,50,180,36,1,313,314
Gujarat,2008,Total Rape Victims,15,27,57,217,57,1,374,374
Gujarat,2008,Victims of Incest Rape,0,1,2,1,0,0,4,4
Gujarat,2008,Victims of Other Rape,15,26,55,216,57,1,370,370
Gujarat,2009,Total Rape Victims,15,27,50,308,32,1,433,433
Gujarat,2009,Victims of Incest Rape,1,2,3,10,2,0,18,18
Gujarat,2009,Victims of Other Rape,14,25,47,298,30,1,415,415
Gujarat,2010,Total Rape Victims,22,28,53,261,42,2,408,408
Gujarat,2010,Victims of Incest Rape,1,0,2,1,0,0,4,4
Gujarat,2010,Victims of Other Rape,21,28,51,260,42,2,404,404
Haryana,2001,Total Rape Victims,34,62,125,134,40,3,398,398
Haryana,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Haryana,2001,Victims of Other Rape,34,62,125,134,40,3,398,398
Haryana,2002,Total Rape Victims,29,49,6,237,39,1,361,361
Haryana,2002,Victims of Incest Rape,0,6,3,39,4,0,52,52
Haryana,2002,Victims of Other Rape,29,43,3,198,35,1,309,309
Haryana,2003,Total Rape Victims,2,5,70,248,28,0,353,353
Haryana,2003,Victims of Incest Rape,0,0,3,11,0,0,14,14
Haryana,2003,Victims of Other Rape,2,5,67,237,28,0,339,339
Haryana,2004,Total Rape Victims,2,2,20,315,47,0,386,386
Haryana,2004,Victims of Incest Rape,0,0,3,13,4,0,20,20
Haryana,2004,Victims of Other Rape,2,2,17,302,43,0,366,366
Haryana,2005,Total Rape Victims,0,34,97,181,143,6,461,461
Haryana,2005,Victims of Incest Rape,0,0,3,10,2,0,15,15
Haryana,2005,Victims of Other Rape,0,34,94,171,141,6,446,446
Haryana,2006,Total Rape Victims,1,22,153,376,51,5,608,608
Haryana,2006,Victims of Incest Rape,0,0,0,8,2,0,10,10
Haryana,2006,Victims of Other Rape,1,22,153,368,49,5,598,598
Haryana,2007,Total Rape Victims,17,26,79,322,41,3,488,488
Haryana,2007,Victims of Incest Rape,0,2,0,1,0,0,3,3
Haryana,2007,Victims of Other Rape,17,24,79,321,41,3,485,485
Haryana,2008,Total Rape Victims,10,22,38,495,61,5,631,631
Haryana,2008,Victims of Incest Rape,0,1,2,4,0,1,8,8
Haryana,2008,Victims of Other Rape,10,21,36,491,61,4,623,623
Haryana,2009,Total Rape Victims,19,27,70,430,54,3,603,603
Haryana,2009,Victims of Incest Rape,2,2,0,7,1,0,12,12
Haryana,2009,Victims of Other Rape,17,25,70,423,53,3,591,591
Haryana,2010,Total Rape Victims,4,23,80,481,127,5,720,720
Haryana,2010,Victims of Incest Rape,0,1,1,11,2,0,15,15
Haryana,2010,Victims of Other Rape,4,22,79,470,125,5,705,705
Himachal Pradesh,2001,Total Rape Victims,20,15,43,35,9,2,124,124
Himachal Pradesh,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Victims of Other Rape,20,15,43,35,9,2,124,124
Himachal Pradesh,2002,Total Rape Victims,5,5,16,71,36,4,137,137
Himachal Pradesh,2002,Victims of Incest Rape,0,1,0,0,0,0,1,1
Himachal Pradesh,2002,Victims of Other Rape,5,4,16,71,36,4,136,136
Himachal Pradesh,2003,Total Rape Victims,8,14,25,56,23,0,126,126
Himachal Pradesh,2003,Victims of Incest Rape,0,0,1,1,0,0,2,2
Himachal Pradesh,2003,Victims of Other Rape,8,14,24,55,23,0,124,124
Himachal Pradesh,2004,Total Rape Victims,4,11,17,68,48,5,153,153
Himachal Pradesh,2004,Victims of Incest Rape,0,2,1,3,2,0,8,8
Himachal Pradesh,2004,Victims of Other Rape,4,9,16,65,46,5,145,145
Himachal Pradesh,2005,Total Rape Victims,11,17,30,63,18,2,141,141
Himachal Pradesh,2005,Victims of Incest Rape,0,1,2,2,0,0,5,5
Himachal Pradesh,2005,Victims of Other Rape,11,16,28,61,18,2,136,136
Himachal Pradesh,2006,Total Rape Victims,6,9,27,66,4,1,113,113
Himachal Pradesh,2006,Victims of Incest Rape,2,2,1,2,0,0,7,7
Himachal Pradesh,2006,Victims of Other Rape,4,7,26,64,4,1,106,106
Himachal Pradesh,2007,Total Rape Victims,11,19,46,58,23,2,159,159
Himachal Pradesh,2007,Victims of Incest Rape,1,0,0,0,1,0,2,2
Himachal Pradesh,2007,Victims of Other Rape,10,19,46,58,22,2,157,157
Himachal Pradesh,2008,Total Rape Victims,8,16,44,68,20,1,157,157
Himachal Pradesh,2008,Victims of Incest Rape,0,1,0,0,0,0,1,1
Himachal Pradesh,2008,Victims of Other Rape,8,15,44,68,20,1,156,156
Himachal Pradesh,2009,Total Rape Victims,12,16,55,84,16,0,183,183
Himachal Pradesh,2009,Victims of Incest Rape,1,2,5,1,1,0,10,10
Himachal Pradesh,2009,Victims of Other Rape,11,14,50,83,15,0,173,173
Himachal Pradesh,2010,Total Rape Victims,8,16,48,67,20,1,160,160
Himachal Pradesh,2010,Victims of Incest Rape,0,3,2,1,0,1,7,7
Himachal Pradesh,2010,Victims of Other Rape,8,13,46,66,20,0,153,153
Jammu & Kashmir,2001,Total Rape Victims,0,24,41,84,20,0,169,169
Jammu & Kashmir,2001,Victims of Incest Rape,0,0,1,1,0,0,2,2
Jammu & Kashmir,2001,Victims of Other Rape,0,24,40,83,20,0,167,167
Jammu & Kashmir,2002,Total Rape Victims,0,0,7,140,44,1,192,192
Jammu & Kashmir,2002,Victims of Incest Rape,0,0,0,3,0,0,3,3
Jammu & Kashmir,2002,Victims of Other Rape,0,0,7,137,44,1,189,189
Jammu & Kashmir,2003,Total Rape Victims,1,1,0,147,62,0,211,211
Jammu & Kashmir,2003,Victims of Incest Rape,0,0,0,2,0,0,2,2
Jammu & Kashmir,2003,Victims of Other Rape,1,1,0,145,62,0,209,209
Jammu & Kashmir,2004,Total Rape Victims,2,0,2,170,44,0,218,218
Jammu & Kashmir,2004,Victims of Incest Rape,0,0,0,1,0,0,1,1
Jammu & Kashmir,2004,Victims of Other Rape,2,0,2,169,44,0,217,217
Jammu & Kashmir,2005,Total Rape Victims,1,0,3,153,42,2,201,201
Jammu & Kashmir,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Victims of Other Rape,1,0,3,153,42,2,201,201
Jammu & Kashmir,2006,Total Rape Victims,0,8,0,193,48,1,250,250
Jammu & Kashmir,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Victims of Other Rape,0,8,0,193,48,1,250,250
Jammu & Kashmir,2007,Total Rape Victims,0,5,10,176,97,0,288,288
Jammu & Kashmir,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Victims of Other Rape,0,5,10,176,97,0,288,288
Jammu & Kashmir,2008,Total Rape Victims,2,0,3,155,59,0,219,219
Jammu & Kashmir,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Victims of Other Rape,2,0,3,155,59,0,219,219
Jammu & Kashmir,2009,Total Rape Victims,0,1,3,177,52,2,237,235
Jammu & Kashmir,2009,Victims of Incest Rape,0,1,0,2,1,0,4,4
Jammu & Kashmir,2009,Victims of Other Rape,0,0,3,175,51,2,233,231
Jammu & Kashmir,2010,Total Rape Victims,0,1,7,187,50,0,245,245
Jammu & Kashmir,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Victims of Other Rape,0,1,7,187,50,0,245,245
Jharkhand,2001,Total Rape Victims,9,3,4,478,73,0,567,567
Jharkhand,2001,Victims of Incest Rape,1,3,4,2,2,0,12,12
Jharkhand,2001,Victims of Other Rape,8,0,0,476,71,0,555,555
Jharkhand,2002,Total Rape Victims,0,0,43,676,78,0,797,797
Jharkhand,2002,Victims of Incest Rape,0,0,4,11,3,0,18,18
Jharkhand,2002,Victims of Other Rape,0,0,39,665,75,0,779,779
Jharkhand,2003,Total Rape Victims,0,6,10,606,90,0,712,712
Jharkhand,2003,Victims of Incest Rape,0,2,6,6,0,0,14,14
Jharkhand,2003,Victims of Other Rape,0,4,4,600,90,0,698,698
Jharkhand,2004,Total Rape Victims,0,0,43,676,78,0,797,797
Jharkhand,2004,Victims of Incest Rape,0,0,4,11,3,0,18,18
Jharkhand,2004,Victims of Other Rape,0,0,39,665,75,0,779,779
Jharkhand,2005,Total Rape Victims,6,7,12,384,343,1,753,753
Jharkhand,2005,Victims of Incest Rape,2,4,8,65,41,0,120,120
Jharkhand,2005,Victims of Other Rape,4,3,4,319,302,1,633,633
Jharkhand,2006,Total Rape Victims,2,45,198,419,133,2,799,799
Jharkhand,2006,Victims of Incest Rape,0,6,21,50,17,0,94,94
Jharkhand,2006,Victims of Other Rape,2,39,177,369,116,2,705,705
Jharkhand,2007,Total Rape Victims,0,15,8,639,188,5,855,855
Jharkhand,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jharkhand,2007,Victims of Other Rape,0,15,8,639,188,5,855,855
Jharkhand,2008,Total Rape Victims,1,2,5,662,119,2,791,791
Jharkhand,2008,Victims of Incest Rape,0,0,0,7,5,0,12,12
Jharkhand,2008,Victims of Other Rape,1,2,5,655,114,2,779,779
Jharkhand,2009,Total Rape Victims,4,0,5,494,216,0,719,719
Jharkhand,2009,Victims of Incest Rape,0,0,0,16,6,0,22,22
Jharkhand,2009,Victims of Other Rape,4,0,5,478,210,0,697,697
Jharkhand,2010,Total Rape Victims,0,0,0,604,169,0,773,773
Jharkhand,2010,Victims of Incest Rape,0,0,0,10,1,0,11,11
Jharkhand,2010,Victims of Other Rape,0,0,0,594,168,0,762,762
Karnataka,2001,Total Rape Victims,24,63,62,123,21,0,293,293
Karnataka,2001,Victims of Incest Rape,3,0,1,1,0,0,5,5
Karnataka,2001,Victims of Other Rape,21,63,61,122,21,0,288,288
Karnataka,2002,Total Rape Victims,3,10,6,218,54,1,292,292
Karnataka,2002,Victims of Incest Rape,0,1,0,3,0,0,4,4
Karnataka,2002,Victims of Other Rape,3,9,6,215,54,1,288,288
Karnataka,2003,Total Rape Victims,18,47,67,135,38,16,321,321
Karnataka,2003,Victims of Incest Rape,1,0,0,0,0,0,1,1
Karnataka,2003,Victims of Other Rape,17,47,67,135,38,16,320,320
Karnataka,2004,Total Rape Victims,15,15,12,201,48,0,291,291
Karnataka,2004,Victims of Incest Rape,2,1,0,4,0,0,7,7
Karnataka,2004,Victims of Other Rape,13,14,12,197,48,0,284,284
Karnataka,2005,Total Rape Victims,14,13,21,234,61,0,343,343
Karnataka,2005,Victims of Incest Rape,0,0,0,3,2,0,5,5
Karnataka,2005,Victims of Other Rape,14,13,21,231,59,0,338,338
Karnataka,2006,Total Rape Victims,23,16,46,268,45,2,400,400
Karnataka,2006,Victims of Incest Rape,0,1,0,1,0,0,2,2
Karnataka,2006,Victims of Other Rape,23,15,46,267,45,2,398,398
Karnataka,2007,Total Rape Victims,20,32,32,297,48,7,436,436
Karnataka,2007,Victims of Incest Rape,0,0,1,1,0,0,2,2
Karnataka,2007,Victims of Other Rape,20,32,31,296,48,7,434,434
Karnataka,2008,Total Rape Victims,21,24,52,301,47,1,446,446
Karnataka,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Karnataka,2008,Victims of Other Rape,21,24,52,301,47,1,446,446
Karnataka,2009,Total Rape Victims,39,49,18,361,38,4,509,509
Karnataka,2009,Victims of Incest Rape,0,0,0,17,1,0,18,18
Karnataka,2009,Victims of Other Rape,39,49,18,344,37,4,491,491
Karnataka,2010,Total Rape Victims,10,47,69,369,88,3,586,586
Karnataka,2010,Victims of Incest Rape,0,0,0,2,0,0,2,2
Karnataka,2010,Victims of Other Rape,10,47,69,367,88,3,584,584
Kerala,2001,Total Rape Victims,19,46,126,306,64,1,562,562
Kerala,2001,Victims of Incest Rape,1,0,1,1,0,1,4,4
Kerala,2001,Victims of Other Rape,18,46,125,305,64,0,558,558
Kerala,2002,Total Rape Victims,25,29,132,265,45,3,499,499
Kerala,2002,Victims of Incest Rape,0,1,0,3,0,0,4,4
Kerala,2002,Victims of Other Rape,25,28,132,262,45,3,495,495
Kerala,2003,Total Rape Victims,20,36,13,267,56,2,394,394
Kerala,2003,Victims of Incest Rape,1,3,0,3,0,0,7,7
Kerala,2003,Victims of Other Rape,19,33,13,264,56,2,387,387
Kerala,2004,Total Rape Victims,19,36,104,258,57,6,480,480
Kerala,2004,Victims of Incest Rape,0,0,2,1,0,0,3,3
Kerala,2004,Victims of Other Rape,19,36,102,257,57,6,477,477
Kerala,2005,Total Rape Victims,30,31,86,236,90,8,478,481
Kerala,2005,Victims of Incest Rape,1,1,4,5,0,1,12,12
Kerala,2005,Victims of Other Rape,29,30,82,231,90,7,466,469
Kerala,2006,Total Rape Victims,35,59,127,281,96,7,601,605
Kerala,2006,Victims of Incest Rape,4,3,9,8,3,1,28,28
Kerala,2006,Victims of Other Rape,31,56,118,273,93,6,573,577
Kerala,2007,Total Rape Victims,23,45,115,262,63,5,512,513
Kerala,2007,Victims of Incest Rape,1,5,4,11,0,0,21,21
Kerala,2007,Victims of Other Rape,22,40,111,251,63,5,491,492
Kerala,2008,Total Rape Victims,27,51,139,274,73,6,568,570
Kerala,2008,Victims of Incest Rape,0,6,6,4,1,0,17,17
Kerala,2008,Victims of Other Rape,27,45,133,270,72,6,551,553
Kerala,2009,Total Rape Victims,33,45,157,253,70,10,568,568
Kerala,2009,Victims of Incest Rape,3,3,7,4,1,0,18,18
Kerala,2009,Victims of Other Rape,30,42,150,249,69,10,550,550
Kerala,2010,Total Rape Victims,29,48,133,328,86,12,634,636
Kerala,2010,Victims of Incest Rape,5,5,2,2,0,0,14,14
Kerala,2010,Victims of Other Rape,24,43,131,326,86,12,620,622
Lakshadweep,2001,Total Rape Victims,0,0,0,0,0,0,0,0
Lakshadweep,2001,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2001,Victims of Other Rape,0,0,0,0,0,0,0,0
Lakshadweep,2002,Total Rape Victims,0,0,0,0,1,0,1,1
Lakshadweep,2002,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2002,Victims of Other Rape,0,0,0,0,1,0,1,1
Lakshadweep,2003,Total Rape Victims,0,0,0,2,0,0,2,2
Lakshadweep,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2003,Victims of Other Rape,0,0,0,2,0,0,2,2
Lakshadweep,2004,Total Rape Victims,0,0,0,0,0,0,0,0
Lakshadweep,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2004,Victims of Other Rape,0,0,0,0,0,0,0,0
Lakshadweep,2005,Total Rape Victims,0,0,0,0,0,0,0,0
Lakshadweep,2005,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2005,Victims of Other Rape,0,0,0,0,0,0,0,0
Lakshadweep,2006,Total Rape Victims,0,0,0,0,0,0,0,0
Lakshadweep,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2006,Victims of Other Rape,0,0,0,0,0,0,0,0
Lakshadweep,2007,Total Rape Victims,0,0,0,1,0,0,1,1
Lakshadweep,2007,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2007,Victims of Other Rape,0,0,0,1,0,0,1,1
Lakshadweep,2008,Total Rape Victims,0,0,0,1,1,0,2,2
Lakshadweep,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2008,Victims of Other Rape,0,0,0,1,1,0,2,2
Lakshadweep,2009,Total Rape Victims,0,0,0,1,0,0,1,1
Lakshadweep,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2009,Victims of Other Rape,0,0,0,1,0,0,1,1
Lakshadweep,2010,Total Rape Victims,0,0,0,0,0,0,0,0
Lakshadweep,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2010,Victims of Other Rape,0,0,0,0,0,0,0,0
Madhya Pradesh,2001,Total Rape Victims,86,304,557,1250,627,27,2851,2851
Madhya Pradesh,2001,Victims of Incest Rape,10,39,66,130,56,0,301,301
Madhya Pradesh,2001,Victims of Other Rape,76,265,491,1120,571,27,2550,2550
Madhya Pradesh,2002,Total Rape Victims,80,185,252,1549,811,14,2891,2891
Madhya Pradesh,2002,Victims of Incest Rape,3,11,16,37,4,1,72,72
Madhya Pradesh,2002,Victims of Other Rape,77,174,236,1512,807,13,2819,2819
Madhya Pradesh,2003,Total Rape Victims,63,231,405,1546,486,7,2738,2738
Madhya Pradesh,2003,Victims of Incest Rape,3,10,23,71,16,0,123,123
Madhya Pradesh,2003,Victims of Other Rape,60,221,382,1475,470,7,2615,2615
Madhya Pradesh,2004,Total Rape Victims,92,280,338,1673,478,14,2875,2875
Madhya Pradesh,2004,Victims of Incest Rape,3,5,24,24,7,0,63,63
Madhya Pradesh,2004,Victims of Other Rape,89,275,314,1649,471,14,2812,2812
Madhya Pradesh,2005,Total Rape Victims,102,294,474,1396,629,26,2921,2921
Madhya Pradesh,2005,Victims of Incest Rape,9,18,43,57,13,1,141,141
Madhya Pradesh,2005,Victims of Other Rape,93,276,431,1339,616,25,2780,2780
Madhya Pradesh,2006,Total Rape Victims,23,96,710,1402,662,7,2900,2900
Madhya Pradesh,2006,Victims of Incest Rape,3,5,5,12,4,0,29,29
Madhya Pradesh,2006,Victims of Other Rape,20,91,705,1390,658,7,2871,2871
Madhya Pradesh,2007,Total Rape Victims,64,287,692,1399,525,43,3010,3010
Madhya Pradesh,2007,Victims of Incest Rape,1,7,23,14,4,0,49,49
Madhya Pradesh,2007,Victims of Other Rape,63,280,669,1385,521,43,2961,2961
Madhya Pradesh,2008,Total Rape Victims,69,227,596,1548,477,20,2937,2937
Madhya Pradesh,2008,Victims of Incest Rape,3,9,20,15,5,0,52,52
Madhya Pradesh,2008,Victims of Other Rape,66,218,576,1533,472,20,2885,2885
Madhya Pradesh,2009,Total Rape Victims,76,291,704,1405,511,11,2998,2998
Madhya Pradesh,2009,Victims of Incest Rape,1,1,9,2,1,0,14,14
Madhya Pradesh,2009,Victims of Other Rape,75,290,695,1403,510,11,2984,2984
Madhya Pradesh,2010,Total Rape Victims,53,304,826,1364,577,12,3135,3136
Madhya Pradesh,2010,Victims of Incest Rape,2,1,10,4,4,0,21,21
Madhya Pradesh,2010,Victims of Other Rape,51,303,816,1360,573,12,3114,3115
Maharashtra,2001,Total Rape Victims,89,152,419,503,135,4,1302,1302
Maharashtra,2001,Victims of Incest Rape,1,5,6,4,4,0,20,20
Maharashtra,2001,Victims of Other Rape,88,147,413,499,131,4,1282,1282
Maharashtra,2002,Total Rape Victims,63,130,319,693,140,7,1352,1352
Maharashtra,2002,Victims of Incest Rape,0,3,5,9,4,0,21,21
Maharashtra,2002,Victims of Other Rape,63,127,314,684,136,7,1331,1331
Maharashtra,2003,Total Rape Victims,79,116,417,541,119,4,1268,1276
Maharashtra,2003,Victims of Incest Rape,4,1,6,8,0,0,18,19
Maharashtra,2003,Victims of Other Rape,75,115,411,533,119,4,1250,1257
Maharashtra,2004,Total Rape Victims,85,133,419,627,123,5,1388,1392
Maharashtra,2004,Victims of Incest Rape,3,5,15,8,1,0,31,32
Maharashtra,2004,Victims of Other Rape,82,128,404,619,122,5,1357,1360
Maharashtra,2005,Total Rape Victims,85,132,421,735,174,2,1545,1549
Maharashtra,2005,Victims of Incest Rape,3,5,13,14,3,0,38,38
Maharashtra,2005,Victims of Other Rape,82,127,408,721,171,2,1507,1511
Maharashtra,2006,Total Rape Victims,83,127,445,707,140,4,1500,1506
Maharashtra,2006,Victims of Incest Rape,4,9,11,8,4,0,36,36
Maharashtra,2006,Victims of Other Rape,79,118,434,699,136,4,1464,1470
Maharashtra,2007,Total Rape Victims,99,125,393,659,168,13,1451,1457
Maharashtra,2007,Victims of Incest Rape,4,5,9,13,9,0,40,40
Maharashtra,2007,Victims of Other Rape,95,120,384,646,159,13,1411,1417
Maharashtra,2008,Total Rape Victims,118,135,441,707,161,5,1558,1567
Maharashtra,2008,Victims of Incest Rape,4,5,8,11,6,1,35,35
Maharashtra,2008,Victims of Other Rape,114,130,433,696,155,4,1523,1532
Maharashtra,2009,Total Rape Victims,131,121,363,713,157,8,1483,1493
Maharashtra,2009,Victims of Incest Rape,5,3,19,47,3,0,76,77
Maharashtra,2009,Victims of Other Rape,126,118,344,666,154,8,1407,1416
Maharashtra,2010,Total Rape Victims,108,134,515,675,168,11,1599,1611
Maharashtra,2010,Victims of Incest Rape,4,8,13,18,1,0,44,44
Maharashtra,2010,Victims of Other Rape,104,126,502,657,167,11,1555,1567
Manipur,2001,Total Rape Victims,3,1,4,9,2,1,20,20
Manipur,2001,Victims of Incest Rape,2,0,0,0,0,0,2,2
Manipur,2001,Victims of Other Rape,1,1,4,9,2,1,18,18
Manipur,2002,Total Rape Victims,0,0,0,14,0,0,14,14
Manipur,2002,Victims of Incest Rape,0,0,0,3,0,0,3,3
Manipur,2002,Victims of Other Rape,0,0,0,11,0,0,11,11
Manipur,2003,Total Rape Victims,0,0,7,10,0,1,18,18
Manipur,2003,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2003,Victims of Other Rape,0,0,7,10,0,1,18,18
Manipur,2004,Total Rape Victims,4,0,2,20,5,0,31,31
Manipur,2004,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2004,Victims of Other Rape,4,0,2,20,5,0,31,31
Manipur,2005,Total Rape Victims,3,1,0,14,7,0,25,25
Manipur,2005,Victims of Incest Rape,0,0,0,0,1,0,1,1
Manipur,2005,Victims of Other Rape,3,1,0,14,6,0,24,24
Manipur,2006,Total Rape Victims,6,4,9,17,6,0,40,42
Manipur,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2006,Victims of Other Rape,6,4,9,17,6,0,40,42
Manipur,2007,Total Rape Victims,2,2,0,14,2,0,20,20
Manipur,2007,Victims of Incest Rape,1,0,0,0,0,0,1,1
Manipur,2007,Victims of Other Rape,1,2,0,14,2,0,19,19
Manipur,2008,Total Rape Victims,9,8,8,12,1,0,38,38
Manipur,2008,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2008,Victims of Other Rape,9,8,8,12,1,0,38,38
Manipur,2009,Total Rape Victims,5,5,2,9,9,1,31,31
Manipur,2009,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2009,Victims of Other Rape,5,5,2,9,9,1,31,31
Manipur,2010,Total Rape Victims,1,2,8,20,3,0,34,34
Manipur,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2010,Victims of Other Rape,1,2,8,20,3,0,34,34
Meghalaya,2001,Total Rape Victims,3,2,4,14,3,0,26,26
Meghalaya,2001,Victims of Incest Rape,1,0,1,1,2,0,5,5
Meghalaya,2001,Victims of Other Rape,2,2,3,13,1,0,21,21
Meghalaya,2002,Total Rape Victims,3,9,22,4,0,0,38,38
Meghalaya,2002,Victims of Incest Rape,1,0,0,0,0,0,1,1
Meghalaya,2002,Victims of Other Rape,2,9,22,4,0,0,37,37
Meghalaya,2003,Total Rape Victims,4,5,15,14,1,1,40,40
Meghalaya,2003,Victims of Incest Rape,1,2,1,1,0,0,5,5
Meghalaya,2003,Victims of Other Rape,3,3,14,13,1,1,35,35
Meghalaya,2004,Total Rape Victims,3,8,9,34,0,0,54,54
Meghalaya,2004,Victims of Incest Rape,0,3,0,1,0,0,4,4
Meghalaya,2004,Victims of Other Rape,3,5,9,33,0,0,50,50
Meghalaya,2005,Total Rape Victims,9,10,32,8,4,0,63,63
Meghalaya,2005,Victims of Incest Rape,1,0,3,0,0,0,4,4
Meghalaya,2005,Victims of Other Rape,8,10,29,8,4,0,59,59
Meghalaya,2006,Total Rape Victims,14,11,23,23,3,0,74,74
Meghalaya,2006,Victims of Incest Rape,0,0,0,0,0,0,0,0
Meghalaya,2006,Victims of Other Rape,14,11,23,23,3,0,74,74
Meghalaya,2007,Total Rape Victims,24,12,19,36,2,0,82,93
Meghalaya,2007,Victims of Incest Rape,2,0,1,6,0,0,9,9
Meghalaya,2007,Victims of Other Rape,22,12,18,30,2,0,73,84
Meghalaya,2008,Total Rape Victims,6,17,14,47,4,0,88,88
Meghalaya,2008,Victims of Incest Rape,1,3,0,1,0,0,5,5
Meghalaya,2008,Victims of Other Rape,5,14,14,46,4,0,83,83
Meghalaya,2009,Total Rape Victims,19,23,19,41,7,3,112,112
Meghalaya,2009,Victims of Incest Rape,1,2,1,1,0,0,5,5
Meghalaya,2009,Victims of Other Rape,18,21,18,40,7,3,107,107
Meghalaya,2010,Total Rape Victims,33,34,26,41,17,0,149,151
Meghalaya,2010,Victims of Incest Rape,2,4,1,1,0,0,8,8
